replicate	generation	window	K	H	S
0	56	1	349	0.410995	338
0	56	2	268	1.02306	202
0	56	4	220	2.04161	96
0	56	8	184	3.33487	40
0	56	16	109	3.75	14
0	56	32	87	2	4
0	56	64	79	-0	1
0	57	1	344	0.386784	310
0	57	2	260	0.965761	189
0	57	4	212	1.93088	91
0	57	8	187	3.34355	39
0	57	16	108	3.625	14
0	57	32	87	2	4
0	57	64	79	-0	1
0	58	1	336	0.381474	304
0	58	2	256	0.953222	186
0	58	4	215	1.91159	87
0	58	8	182	3.18551	38
0	58	16	107	3.625	14
0	58	32	87	2	4
0	58	64	79	-0	1
0	59	1	330	0.377013	299
0	59	2	261	0.942514	182
0	59	4	205	1.88383	89
0	59	8	178	3.08475	38
0	59	16	110	3.57782	13
0	59	32	87	2	4
0	59	64	79	-0	1
0	60	1	339	0.372522	294
0	60	2	254	0.940145	186
0	60	4	215	1.88882	89
0	60	8	180	3.21328	38
0	60	16	109	3.75	14
0	60	32	87	2	4
0	60	64	79	-0	1
0	61	1	343	0.375221	297
0	61	2	257	0.939128	185
0	61	4	215	1.89343	89
0	61	8	180	3.3066	40
0	61	16	107	3.625	14
