replicate	generation	Ktl	Kce	Kbr	Htl	Hce	Hbr	Dtl	Dce	Dbr
0	269	92	100	92	-0	0.33729	-0	0	0.0625	0
0	270	92	100	92	-0	0.395538	-0	0	0.078125	0
0	271	92	101	92	-0	0.448864	-0	0	0.09375	0
0	272	92	101	92	-0	0.33729	-0	0	0.0625	0
0	273	92	98	92	-0	0.200622	-0	0	0.03125	0
0	274	92	92	92	-0	-0	-0	0	0	0
0	275	92	97	92	-0	0.116115	-0	0	0.015625	0
0	276	92	98	92	-0	0.200622	-0	0	0.03125	0
0	277	92	97	92	-0	0.116115	-0	0	0.015625	0
0	278	92	100	92	-0	0.33729	-0	0	0.0625	0
0	279	92	99	92	-0	0.272971	-0	0	0.046875	0
0	280	92	99	92	-0	0.272971	-0	0	0.046875	0
0	281	92	99	92	-0	0.33729	-0	0	0.0625	0
0	282	92	99	92	-0	0.33729	-0	0	0.0625	0
0	283	92	99	92	-0	0.395538	-0	0	0.078125	0
0	284	92	99	92	-0	0.543564	-0	0	0.125	0
0	285	92	100	92	-0	0.395538	-0	0	0.078125	0
0	286	92	99	92	-0	0.33729	-0	0	0.0625	0
0	287	92	99	92	-0	0.272971	-0	0	0.046875	0
0	288	92	97	92	-0	0.272971	-0	0	0.046875	0
0	289	92	92	92	-0	-0	-0	0	0	0
0	290	92	92	92	-0	-0	-0	0	0	0
0	291	92	92	92	-0	-0	-0	0	0	0
0	292	92	92	92	-0	-0	-0	0	0	0
0	293	92	92	92	-0	-0	-0	0	0	0
0	294	92	92	92	-0	-0	-0	0	0	0
0	295	92	92	92	-0	-0	-0	0	0	0
0	296	92	92	92	-0	-0	-0	0	0	0
0	297	92	92	92	-0	-0	-0	0	0	0
0	298	92	92	92	-0	-0	-0	0	0	0
0	299	92	92	92	-0	-0	-0	0	0	0
0	300	92	97	92	-0	0.116115	-0	0	0.015625	0
0	301	92	97	92	-0	0.200622	-0	0	0.03125	0
0	302	92	97	92	-0	0.116115	-0	0	0.015625	0
0	303	92	92	92	-0	-0	-0	0	0	0
0	304	92	92	92	-0	-0	-0	0	0	0
0	305	92	92	92	-0	-0	-0	0	0	0
0	306	92	92	92	-0	-0	-0	0	0	0
0	307	92	92	92	-0	-0	-0	0	0	0
0	308	92	92	92	-0	-0	-0	0	0	0
0	309	92	92	92	-0	-0	-0	0	0	0
0	310	92	92	92	-0	-0	-0	0	0	0
0	311	92	92	92	-0	-0	-0	0	0	0
0	312	92	92	92	-0	-0	-0	0	0	0
0	313	92	92	92	-0	-0	-0	0	0	0
0	314	92	98	92	-0	0.200622	-0	0	0.03125	0
0	315	92	99	92	-0	0.272971	-0	0	0.046875	0
